period,Regulatorycapitaltoriskweigh,Tier1capitaltoriskweighted,CapitalandReservesTotalDepos,Bankleverage,LoansDeposit,LiquidAssetstoShortTermLiab,Totalvalueofmortgageloans,SAIBOR3m,Inflation,Unemployment,GDPgrowth,oil_price_growth,Stock_Market_growth,GovernmentSpendingYoY,M2GrowthQoQ,ReserveAssets,TotalBankassets,NetNPLratio,ROA,ROE,Liquidassetstototalassets,InterestMargintogrossincome,Retailrealestateloansproport,RetailRealestateloanproporti,RealEstatePrices,RealEstatePricesgrowth,Liquidassetstoshorttermliab,BANKCLAIMSONPRIVATESECTORr,Non_Oil_Trade_Balance,time,l_Totalvalueofmortgageloans,rc_rwa,tier1_rwa,cap_res_dep,bnk_lvrg,loan_dep,liq_ast_liab,l_tot_mort_loans,tot_mort_loans,l_SAIBOR3m,dl_SAIBOR3m,unemp,l_ReserveAssets,dl_ReserveAssets,l_TotalBankassets,dl_TotalBankassets,d_NPL,d_ROA,d_ROE,liq_ast_ttl_ast,int_mar_gross,rtl_rlest1,rtl_rlest2,l_RealEstatePrices,dl_rlest_p,liq_ast_shr_lib,bnk_clm_prvt_sec,d_xoil_tb,policy,policy_mortgage_interaction
Q1 2019,20.182206575696,18.6194615641446,21.29810535187918,6.58546907600775,79.69,39.5,150893.473,2.93428291062802,-3.210097396143907,5.7236721,1.864250650968629,-7.874988698351492,12.68358560982685,8.463946717715555,-.7641746245331831,1873279.83012745,2397906.96298953,1.46159005224748,2.4023654861121,15.6506251234856,24.4548891208863,75.99616656681,60.83985,10.32947271825973,80.11,-.41,39.458617639048,1.076155832837267,-114867.101116378,2019q1,11.92433,-.10896023,.12894809,3.16627,-.23545337,2.3,4,11.92433,.012602806,1.0764631,.041147232,-.3183839,14.443201,.0059270859,14.690106,-.0097846985,.39402658,.29744405,1.8858328,2.1106958,.3449825,1.31615,.0097924294,4.3834009,-.0041108131,3.9672463,1.5704505,19172.359,1,.012602806
Q2 2019,19.6931259851526,18.3819432772972,21.18742609023491,6.444408143499439,78,41.6,162496.087,2.82156680735931,-2.592481802771973,5.6182097,1.334904477904232,8.947277290252442,.0263055250673494,4.725395977932023,2.978568240432878,1926438.40035471,2469614.27386435,.871413841989252,2.13112214449362,12.1786679077473,25.4005746241015,76.6083048789007,62.69611,11.00098287057872,80.43000000000001,.4,41.6455475650305,1.115822157974011,-131459.873661072,2019q2,11.998409,-.48908058,-.23751828,-.11067926,-.14106093,-1.6900001,2.0999999,11.998409,.0011177063,1.0372924,-.039170742,-.1054624,14.471184,.027982712,14.719572,.029565811,-.59017622,-.27124333,-3.4719572,.94568551,.61213833,-.17847,.048035905,4.3873873,.0039863586,2.1869299,.039666325,-16592.773,1,.0011177063
Q3 2019,19.3895730523329,18.0815954468992,20.30496610658016,6.534163224737707,79.14,39.6,176682.15,2.51383753364389,-1.412967231185502,5.5307016,.0102579657497586,-10.42832145264391,-8.27499274521184,3.828687177129364,.6613071884766129,1877204.637324431,2506350.71772519,1.48322029390353,2.18204759003057,12.5069429775807,24.2503544429919,76.6548831729929,64.03889000000001,11.78653713091466,80.09,-.42,39.5640043341731,1.483404405154842,-122144.149984294,2019q3,12.082108,-.30355293,-.30034783,-.88246,.089755081,1.14,-2,12.082108,.0096187592,.92181051,-.11548185,-.087508097,14.445294,-.025889397,14.734339,-.014698982,.61180645,.050925445,.32827508,-1.1502202,.046578296,-.51348001,.11404411,4.3831511,-.0042362213,-2.0815432,.36758226,9315.7236,1,.0096187592
Q4 2019,19.2865925552707,18.0091024701853,19.09687402226129,6.690030901183341,77.11,41.3,198099.618,2.25769299275362,-.182370820668698,5.6730416,.1718034089745117,1.023982355996345,3.676208884099363,-16.08821373079368,4.583594939539097,1873410.555756048,2631128.38743068,1.62461354053268,2.11533358912082,12.0883168027962,25.4498944811833,77.6932006227733,66.61677999999999,12.8093886249761,80.83,.92,41.304558728151,3.168897463876008,-135588.6727236772,2019q4,12.196526,-.10298049,-.072492979,-1.2080921,.15586768,-2.03,1.7,12.196526,.030719757,.81434351,-.107467,.14234,14.443271,-.0020236969,14.782924,.033818245,.14139324,-.066714004,-.41862619,1.19954,1.0383174,1.23511,.23729724,4.3923483,.0091972351,1.7405545,1.6854931,-13444.522,1,.030719757
Q1 2020,18.5914211366222,17.0476227203105,20.49438850468306,7.089179573074994,80.01000000000001,40,225090.862,1.88620660493827,1.478591231132564,5.6694592,-1.352414463985639,-19.56432421171639,-22.45593457325642,3.956887438525536,1.978178348790578,1775159.66969342,2724133.91538189,1.55562986568261,2.07192494197996,11.7456777876764,24.3779077437975,76.7851946684716,68.36024,13.78323754922441,81.06999999999999,.29,39.976566893148,5.596953062092891,-113540.9714357757,2020q1,12.32426,-.69517142,-.96147972,1.3975145,.39914867,2.9000001,-1.3,12.32426,.013316154,.63456774,-.17977577,-.0035824,14.3894,-.053870201,14.817661,-.013847351,-.068983674,-.043408647,-.34263903,-1.0719868,-.90800595,-.83442998,-.049002569,4.3953128,.0029644966,-1.3279918,2.4280555,22047.701,1,.013316154
Q2 2020,19.0663022873297,17.7393888273405,20.59242653840012,7.184690317871087,75.40000000000001,41.5,250287.497,1.12792538461538,.5220595762104763,8.979812900000001,-7.434238998604783,-41.18518002835659,11.04844474163573,-17.3489086620489,2.373659243980214,1679057.31185332,2831917.571750714,2.7562733870723,1.15364563897112,6.63840180376243,25.2015973123989,77.5003467943973,69.54446,14.96998507712249,80.98,-.11,41.4780388243393,2.379066321367973,-123778.3461085591,2020q2,12.430366,.47488114,.69176608,.098038033,.095510744,-4.6100001,1.5,12.430366,-.02162838,.12038,-.51418775,3.3103538,14.333743,-.055657387,14.856464,.0040655136,1.2006435,-.91827929,-5.107276,.82368958,.71515214,-.55923998,.2128986,4.3942022,-.0011105537,1.5014719,-3.2178867,-10237.375,1,-.02162838
Q3 2020,19.6116641241969,18.0985182173461,19.98475129505066,7.136040638013452,75.12,41.7,279231.132,.916,5.743037202683476,8.503383100000001,-4.766799662646335,45.67434400115757,14.88062856359762,7.088847670610243,.7564517747013326,1678502.61885982,2879696.517509239,2.52001809479091,1.41853774103459,8.459288722059689,25.1703757129083,76.6594706910623,71.20615000000001,16.19865569977183,80.54000000000001,-.54,41.6732782047459,3.101996353072844,-99892.04694464372,2020q3,12.539795,.54536182,.3591294,-.60767525,-.04864968,-.28,.2,12.539795,.003323555,-.087738916,-.20811892,-.47642979,14.333413,-.00032997131,14.873196,-.022071838,-.23625529,.2648921,1.820887,-.0312216,-.8408761,.47747001,.041923095,4.3887539,-.0054483414,.19523938,.72293001,23886.299,1,.003323555
Q4 2020,20.3385021163627,18.7272345898783,19.40823202250892,7.166017187597297,75,43.8,315198.729,.839034731182796,5.328867235079171,7.4487864,-3.883486597278946,3.032435069756234,4.704738356540727,13.54582965692634,4.248355063720652,1701208.92183824,2979625.254301186,2.52598374723691,1.46596857922992,8.61755868714987,26.7502460273194,76.536933164196,73.57387,17.88422417843766,80.59999999999999,.08,43.7801555620133,2.24203621890442,-115282.5960596355,2020q4,12.660958,.72683799,.62871635,-.57651925,.02997655,-.12,2.0999999,12.660958,.011734009,-.17550318,-.087764263,-1.0545967,14.346849,.013436317,14.907308,.017380714,.0059656524,.047430839,.15826997,1.5798703,-.12253752,.70603001,.45689785,4.3894987,.00074481964,2.1068773,-.85996014,-15390.549,1,.011734009
Q1 2021,20.2374670534799,18.4989286172687,20.68152760215116,7.195072684632954,77.56999999999999,42,358006.559,.8072237633763441,4.947890316705461,6.4648599,-2.09695603966766,38.29898661704419,14.02020592598216,-6.178552378120861,.4849819426226958,1683549.18544043,3035138.554510946,2.49115793837324,1.72857350852457,9.73887153061928,25.6528378101517,73.1861955983056,75.44602,19.12868924490352,81.31999999999999,.89,41.9796947206931,6.191906769870448,-123385.2903874723,2021q1,12.788306,-.10103507,-.22830597,1.2732955,.029055497,2.5699999,-1.8,12.788306,.0061845779,-.21415438,-.038651198,-.98392648,14.336414,-.010435104,14.925768,-.015651703,-.034825809,.26260492,1.1213129,-1.0974082,-3.3507376,-.49557,-.4411034,4.3983922,.0088934898,-1.8004608,3.9498706,-8102.6943,1,.0061845779
Q2 2021,19.8162705689538,18.0689744396254,19.61331912546515,7.357796546475806,77.84999999999999,40.4,384668.341,.793675605734767,6.160896130346227,6.5710168,3.509227939400077,12.52211487224142,10.86343918238322,3.922181420423465,.7515184759468525,1679941.484480824,3114193.582953779,2.57743460660355,1.75002593086867,10.6761776162345,24.5380882844858,75.8678829028083,76.51510999999999,19.89016376874502,81.29000000000001,-.03,40.433788355891,3.333779428523864,-113683.2360765047,2021q2,12.860137,-.42119649,-.42995417,-1.0682085,.16272387,.28,-1.6,12.860137,-.055517197,-.23108046,-.01692608,.1061569,14.33427,-.0021448135,14.951481,.0072526932,.086276665,.021452423,.93730611,-1.1147496,2.6816874,-.80306,-.48299053,4.3980231,-.00036907196,-1.5459063,-2.8581274,9702.0547,1,-.055517197
Q3 2021,19.9887068199438,18.3369205859581,19.18427182055464,7.244427117866593,79.52,39.6,412601.935,.7962299032258064,.6344323752763614,6.5890829,7.234610599392582,6.816502163911475,4.657711338610637,-7.664670658682637,.1700747366153905,1745593.52359651,3151241.789573094,2.70448322211433,1.85201483048901,10.9391144084688,23.9805889442294,76.3593618093356,77.34598,20.77855226569371,80.93000000000001,-.45,39.6096596285286,2.675751417269989,-117179.752250567,2021q3,12.930239,.17243625,.26794615,-.42904732,-.11336943,1.67,-.80000001,12.930239,-.0017290115,-.22786731,.0032131523,.018066101,14.372605,.0383358,14.963307,-.013886452,.12704861,.1019889,.2629368,-.55749935,.49147892,-.23822001,.12691398,4.3935847,-.0044384003,-.82412875,-.65802801,-3496.5161,1,-.0017290115
